File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\electronics_test.cpp,run_electronics_test(),34,29,21,3,3,0,2,18,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\lifetime_stats.cpp,lifetime_stats_init(),8,7,7,0,1,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\lifetime_stats.cpp,lifetime_stats_tick(),36,30,20,5,4,0,2,16,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\lifetime_stats.cpp,lifetime_stats_print_start(),4,4,4,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\lifetime_stats.cpp,lifetime_stats_print_end(),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\lifetime_stats.cpp,load_lifetime_stats(),18,18,16,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\lifetime_stats.cpp,save_lifetime_stats(),8,8,8,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,"LiquidCrystalRus::LiquidCrystalRus(uint8_t rs, uint8_t rw, uint8_t enable, uint8_t d0, uint8_t d1, uint8_t d2, uint8_t d3, uint8_t d4, uint8_t d5, uint8_t d6, uint8_t d7)",2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,"LiquidCrystalRus::LiquidCrystalRus(uint8_t rs, uint8_t enable, uint8_t d0, uint8_t d1, uint8_t d2, uint8_t d3, uint8_t d4, uint8_t d5, uint8_t d6, uint8_t d7)",2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,"LiquidCrystalRus::LiquidCrystalRus(uint8_t rs, uint8_t rw, uint8_t enable, uint8_t d0, uint8_t d1, uint8_t d2, uint8_t d3)",2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,"LiquidCrystalRus::LiquidCrystalRus(uint8_t rs, uint8_t enable, uint8_t d0, uint8_t d1, uint8_t d2, uint8_t d3)",2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,"LiquidCrystalRus::init(uint8_t fourbitmode, uint8_t rs, uint8_t rw, uint8_t enable, uint8_t d0, uint8_t d1, uint8_t d2, uint8_t d3, uint8_t d4, uint8_t d5, uint8_t d6, uint8_t d7)",27,22,19,2,4,0,1,16,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,"LiquidCrystalRus::begin(uint8_t cols, uint8_t lines, uint8_t dotsize)",73,36,32,4,15,3,22,162,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::setDRAMModel(uint8_t model),2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::clear(),3,3,3,0,0,2,0,13,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::home(),3,3,3,0,0,2,0,11,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,"LiquidCrystalRus::setCursor(uint8_t col, uint8_t row)",7,6,6,1,1,1,0,5,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::noDisplay(),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::display(),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::noCursor(),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::cursor(),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::noBlink(),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::blink(),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::scrollDisplayLeft(void),2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::scrollDisplayRight(void),2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::leftToRight(void),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::rightToLeft(void),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::autoscroll(void),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::noAutoscroll(void),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,"LiquidCrystalRus::createChar(uint8_t location, uint8_t charmap[])",6,6,5,1,0,1,0,6,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::command(uint8_t value),2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,"LiquidCrystalRus::send(uint8_t value, uint8_t mode)",14,11,9,2,2,0,1,12,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::recv(uint8_t mode),16,13,11,3,2,0,1,12,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::pulseEnable(),7,7,7,0,0,2,0,11,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,"LiquidCrystalRus::writeNbits(uint8_t value, uint8_t n)",7,6,5,1,1,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\LiquidCrystalRus.cpp,LiquidCrystalRus::readNbits(uint8_t n),18,14,12,3,4,1,0,5,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,store_char(unsigned char c),11,6,5,1,1,0,4,45,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,SIGNAL(M_USARTx_RX_vect),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,MarlinSerial::MarlinSerial(),2,1,1,0,1,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,MarlinSerial::begin(long baud),28,20,16,2,4,0,4,35,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,MarlinSerial::end(),4,4,4,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,MarlinSerial::peek(void),6,6,5,3,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,MarlinSerial::read(void),9,8,7,3,0,0,1,13,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,MarlinSerial::flush(),11,2,2,0,0,0,9,90,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,"MarlinSerial::print(char c, int base)",2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,"MarlinSerial::print(unsigned char b, int base)",2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,"MarlinSerial::print(int n, int base)",2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,"MarlinSerial::print(unsigned int n, int base)",2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,"MarlinSerial::print(long n, int base)",12,12,10,2,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,"MarlinSerial::print(unsigned long n, int base)",3,3,3,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,"MarlinSerial::print(double n, int digits)",2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,MarlinSerial::println(void),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,MarlinSerial::println(const String &s),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,MarlinSerial::println(const char c[]),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,"MarlinSerial::println(char c, int base)",3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,"MarlinSerial::println(unsigned char b, int base)",3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,"MarlinSerial::println(int n, int base)",3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,"MarlinSerial::println(unsigned int n, int base)",3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,"MarlinSerial::println(long n, int base)",3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,"MarlinSerial::println(unsigned long n, int base)",3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,"MarlinSerial::println(double n, int digits)",3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,"MarlinSerial::printNumber(unsigned long n, uint8_t base)",18,15,10,3,3,1,0,3,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\MarlinSerial.cpp,"MarlinSerial::printFloat(double number, uint8_t digits)",32,22,16,4,5,0,5,42,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,"serial_echopair_P(const char *s_P, float v)",3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,"serial_echopair_P(const char *s_P, double v)",3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,"serial_echopair_P(const char *s_P, unsigned long v)",3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,clear_command_queue(),6,6,4,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,enquecommand(const char *cmd),12,11,9,1,0,0,1,11,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,enquecommand_P(const char *cmd),12,11,9,1,0,0,1,11,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,is_command_queued(),2,2,2,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,commands_queued(),2,2,2,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,setup_killpin(),5,5,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,setup_photpin(),5,5,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,setup_powerhold(),9,9,5,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,suicide(),5,5,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,servo_init(),26,24,8,2,1,0,1,8,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,setup(),55,48,40,6,5,4,2,42,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,loop(),49,47,25,6,1,1,1,6,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,get_command(),194,177,115,33,10,14,7,102,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,code_value(),2,2,2,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,code_value_long(),2,2,2,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,code_seen(char code),3,3,3,1,0,1,0,7,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,axis_is_at_home(int axis),4,4,4,0,0,2,0,4,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Marlin_main.cpp,homeaxis(int axis),108,91,56,11,8,1,9,118,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\motion_control.cpp,"mc_arc(float *position, float *target, float *offset, uint8_t axis_0, uint8_t axis_1, uint8_t axis_linear, float feed_rate, float radius, uint8_t isclockwise, uint8_t extruder)",106,50,48,6,13,3,43,417,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,next_block_index(int8_t block_index),6,6,5,2,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,prev_block_index(int8_t block_index),6,6,5,2,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,"estimate_acceleration_distance(float initial_rate, float target_rate, float acceleration)",8,8,5,3,0,1,0,8,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,"intersection_distance(float initial_rate, float final_rate, float acceleration, float distance)",8,8,5,3,0,1,0,8,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,"calculate_trapezoid_for_block(block_t *block, float entry_factor, float exit_factor)",50,37,27,4,6,8,7,108,
